"id_municipio","nome_municipio","uf","ano","pib_mil_reais"
"3300100",Angra dos Reis,RJ,2015,7600989
"3300100",Angra dos Reis,RJ,2016,9294025
"3300100",Angra dos Reis,RJ,2017,10106295
"3300100",Angra dos Reis,RJ,2018,8942168
"3300100",Angra dos Reis,RJ,2019,9828660
"3300100",Angra dos Reis,RJ,2020,10397760
"3300100",Angra dos Reis,RJ,2021,11194157
"3300100",Angra dos Reis,RJ,2022,11032725
"3300100",Angra dos Reis,RJ,2023,11900498
"3300159",Aperibé,RJ,2015,156723
"3300159",Aperibé,RJ,2016,167714
"3300159",Aperibé,RJ,2017,171697
"3300159",Aperibé,RJ,2018,181569
"3300159",Aperibé,RJ,2019,208718
"3300159",Aperibé,RJ,2020,223026
"3300159",Aperibé,RJ,2021,249119
"3300159",Aperibé,RJ,2022,276295
"3300159",Aperibé,RJ,2023,301129
"3300209",Araruama,RJ,2015,2251793
"3300209",Araruama,RJ,2016,2476384
"3300209",Araruama,RJ,2017,2515123
"3300209",Araruama,RJ,2018,2676428
"3300209",Araruama,RJ,2019,3686098
"3300209",Araruama,RJ,2020,3529276
"3300209",Araruama,RJ,2021,4234217
"3300209",Araruama,RJ,2022,9387990
"3300209",Araruama,RJ,2023,13156181
"3300225",Areal,RJ,2015,294171
"3300225",Areal,RJ,2016,315905
"3300225",Areal,RJ,2017,325726
"3300225",Areal,RJ,2018,315392
"3300225",Areal,RJ,2019,354392
"3300225",Areal,RJ,2020,389827
"3300225",Areal,RJ,2021,427436
"3300225",Areal,RJ,2022,488446
"3300225",Areal,RJ,2023,597072
"3300233",Armação dos Búzios,RJ,2015,2282739
"3300233",Armação dos Búzios,RJ,2016,1472824
"3300233",Armação dos Búzios,RJ,2017,1713499
"3300233",Armação dos Búzios,RJ,2018,2361779
"3300233",Armação dos Búzios,RJ,2019,2628093
"3300233",Armação dos Búzios,RJ,2020,2053833
"3300233",Armação dos Búzios,RJ,2021,2970297
"3300233",Armação dos Búzios,RJ,2022,4138737
"3300233",Armação dos Búzios,RJ,2023,5019621
"3300258",Arraial do Cabo,RJ,2015,801489
"3300258",Arraial do Cabo,RJ,2016,664032
"3300258",Arraial do Cabo,RJ,2017,724388
"3300258",Arraial do Cabo,RJ,2018,1291857
"3300258",Arraial do Cabo,RJ,2019,2557039
"3300258",Arraial do Cabo,RJ,2020,1828909
"3300258",Arraial do Cabo,RJ,2021,2705450
"3300258",Arraial do Cabo,RJ,2022,7026277
"3300258",Arraial do Cabo,RJ,2023,9335374
"3300308",Barra do Piraí,RJ,2015,1951268
"3300308",Barra do Piraí,RJ,2016,1984592
"3300308",Barra do Piraí,RJ,2017,2014883
"3300308",Barra do Piraí,RJ,2018,2061848
"3300308",Barra do Piraí,RJ,2019,2115455
"3300308",Barra do Piraí,RJ,2020,2466252
"3300308",Barra do Piraí,RJ,2021,2713890
"3300308",Barra do Piraí,RJ,2022,3005432
"3300308",Barra do Piraí,RJ,2023,3225723
"3300407",Barra Mansa,RJ,2015,4962639
"3300407",Barra Mansa,RJ,2016,4792723
"3300407",Barra Mansa,RJ,2017,4884834
"3300407",Barra Mansa,RJ,2018,5565508
"3300407",Barra Mansa,RJ,2019,5486252
"3300407",Barra Mansa,RJ,2020,5906391
"3300407",Barra Mansa,RJ,2021,6449270
"3300407",Barra Mansa,RJ,2022,6513674
"3300407",Barra Mansa,RJ,2023,6831115
"3300456",Belford Roxo,RJ,2015,7386583
"3300456",Belford Roxo,RJ,2016,7941397
"3300456",Belford Roxo,RJ,2017,8189053
